                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.88727,                 0.5059,                 1.0259,                0.91755,                0.94011,                0.95186,                0.69204,                0.83098,                0.41173,                 1.0438,               0.002872,               0.002872,               0.002872
                     38,                0.87655,                0.50222,                 1.0244,                0.94209,                 0.9037,                0.95704,                0.70331,                0.84071,                0.40323,                 1.0523,               0.002674,               0.002674,               0.002674
                     39,                0.87494,                0.49216,                 1.0218,                 0.9077,                 0.9297,                0.95434,                0.69247,                 0.8527,                0.41579,                 1.0493,               0.002476,               0.002476,               0.002476
                     40,                0.87377,                0.49217,                 1.0212,                0.91468,                0.91885,                0.95504,                0.68471,                0.84885,                0.40767,                 1.0393,               0.002278,               0.002278,               0.002278
                     41,                0.86183,                0.43864,                 1.0563,                0.92983,                0.92295,                0.95332,                0.69611,                0.85898,                0.40476,                 1.0599,                0.00208,                0.00208,                0.00208
                     42,                0.85549,                0.42717,                 1.0538,                0.93297,                0.90882,                0.95345,                0.69941,                0.83017,                0.40403,                 1.0514,               0.001882,               0.001882,               0.001882
                     43,                0.85115,                0.41859,                   1.05,                0.93026,                0.92661,                0.95424,                0.70014,                0.84322,                0.41162,                 1.0535,               0.001684,               0.001684,               0.001684
                     44,                0.84022,                 0.4098,                 1.0384,                0.92876,                0.92584,                0.94768,                0.69814,                0.83246,                0.39471,                 1.0393,               0.001486,               0.001486,               0.001486
                     45,                0.82882,                0.39863,                 1.0305,                0.92202,                0.92601,                0.95951,                0.70925,                0.82622,                0.38335,                 1.0459,               0.001288,               0.001288,               0.001288
                     46,                0.82455,                0.38596,                 1.0277,                 0.9571,                0.90252,                0.96068,                0.71095,                0.82356,                 0.3755,                 1.0391,                0.00109,                0.00109,                0.00109
                     47,                0.81852,                0.38304,                 1.0233,                0.93013,                0.94564,                0.95921,                0.70641,                0.83556,                0.37364,                 1.0549,               0.000892,               0.000892,               0.000892
                     48,                0.80485,                0.37171,                 1.0138,                0.93252,                0.94428,                0.95704,                 0.7159,                0.83005,                0.36061,                   1.05,               0.000694,               0.000694,               0.000694
                     49,                0.80195,                0.36615,                 1.0115,                 0.9302,                0.93524,                0.95405,                0.71035,                0.82221,                0.36325,                 1.0486,               0.000496,               0.000496,               0.000496
                     50,                 0.7957,                0.35751,                 1.0059,                 0.9288,                0.94019,                0.96045,                0.71384,                0.81732,                0.35885,                 1.0434,               0.000298,               0.000298,               0.000298
